hotel_name,latitude,longitude,kategori
Sheraton Grand Jakarta Gandaria City Hotel,-6.2452177,106.7830538,Hotel
The Westin Jakarta,-6.2238997,106.8336859,Hotel
Grand Hyatt Jakarta,-6.1938028,106.8224472,Hotel
Hotel Santika Premiere Slipi Jakarta,-6.9890103,110.4209436,Hotel
Aloft Jakarta Wahid Hasyim,-6.1863149,106.8272149,Hotel
Hotel Santika Kelapa Gading,-6.1500853,106.902761,Hotel
Grand Tjokro Jakarta,-6.165305,106.7818709,Hotel
The Bellezza Suites,-6.2213906,106.7817984,Hotel
Grand Whiz Poins Simatupang Jakarta,-6.2899244,106.7776299,Hotel
Grand Whiz Poins Simatupang Jakarta,-6.2899244,106.7776299,Hotel
Aston Rasuna,-6.2192714,106.8365341,Hotel
Happy Inn,51.9250234,4.5168576,Hotel
Novotel Jakarta Mangga Dua Square,-6.1381756,106.8318856,Hotel
Sunlake Hotel,-6.1469573,106.8796579,Hotel
Amaris Hotel Pasar Baru,-6.1604629,106.8372104,Hotel
Aston Pluit Hotel & Residence,-6.1242991,106.7950506,Hotel
Amaris Hotel Thamrin City,-6.1945344,106.817966,Hotel
RedDoorz Apartment @ Pasar Baru Mansion,-6.1629599,106.8322411,Hotel
Amaris Hotel Dr. Susilo Grogol,-6.165828,106.7963622,Hotel
Ayaka Suites,-6.2210362,106.8241716,Hotel
Nostoi,40.0568724,17.9889834,Hotel
Golden Boutique Hotel Melawai,-6.2470308,106.798736,Hotel
Amaris Hotel Panglima Polim 2,-6.2522772,106.797541,Hotel
Grand Paragon Hotel,1.4805621,103.7621127,Hotel
Hotel Borobudur Jakarta,-6.1723652,106.8344121,Hotel
Green Bamboo Residence,-6.2185042,106.8259285,Hotel
Studio One,52.4323436,-1.9195121,Hotel
Hotel Cikini,-6.1923614,106.8390114,Hotel
M Hotel,10.357409,106.366925,Hotel
Sawana Suites,-6.2084968,106.8059879,Hotel
Amaris Hotel Mangga Besar,-6.1494978,106.8188916,Hotel
Royal City Hotel,50.4493954,30.49095,Hotel
P Hotel,-6.19214,106.8673581,Hotel
Sleepy Raccoon Hostel,-7.8350524,110.3676952,Hotel
Hotel Alma,37.9850636,23.7289001,Hotel
Putri Duyung Ancol,-6.1218229,106.8409833,Hotel
Cipta Hotel Pancoran,-6.247309,106.8431966,Hotel
Twins Hotel,0.4317161,33.1496165,Hotel
Upscale Suites,-6.2164999,106.8194447,Hotel
The Packer Lodge,-6.1460841,106.8149068,Hotel
The Packer Lodge,-6.1460841,106.8149068,Hotel
Sun Rise House,41.3865175,-72.8737789,Hotel
Borneo Hostel,-6.1850141,106.8286729,Hotel
